"","Date","Open","High","Low","Close","Volume","Cryptocurrency"
"163",2018-12-31,136.29,136.29,130,130.74,155.781,"Ethereum"
"164",2019-01-01,130.74,139.19,130.52,137.84,186.811,"Ethereum"
"165",2019-01-02,137.84,154.84,137.71,153.08,503.879,"Ethereum"
"166",2019-01-03,153.08,154,143.39,147.16,431.983,"Ethereum"
"167",2019-01-04,147.16,154.48,145,151.82,449.517,"Ethereum"
"168",2019-01-05,151.82,158.78,151.7,153.58,600.404,"Ethereum"
"169",2019-01-06,153.58,157,149,154,306.896,"Ethereum"
"170",2019-01-07,154,155.24,148.42,148.87,369.235,"Ethereum"
"171",2019-01-08,148.87,151.4,145.5,148,252.229,"Ethereum"
"172",2019-01-09,148,150.91,147.5,147.88,234.401,"Ethereum"
"173",2019-01-10,147.88,149.3,122.18,126.4,602.515,"Ethereum"
"174",2019-01-11,126.4,127.02,120.74,123.23,218.166,"Ethereum"
"175",2019-01-12,123.23,125.99,122.47,123.31,221.432,"Ethereum"
"176",2019-01-13,123.31,123.95,112.68,113.81,148.718,"Ethereum"
"177",2019-01-14,113.81,130.38,113.81,126.42,262.331,"Ethereum"
"178",2019-01-15,126.42,129.51,117.18,120.44,219.389,"Ethereum"
"179",2019-01-16,120.44,125.71,118.58,122.07,186.736,"Ethereum"
"180",2019-01-17,122.07,122.93,118,122,132.898,"Ethereum"
"181",2019-01-18,122,122,118.02,119.45,363.569,"Ethereum"
"182",2019-01-19,119.45,125.31,119.44,123.64,236.071,"Ethereum"
"183",2019-01-20,123.64,123.64,115.99,117.91,163.515,"Ethereum"
"184",2019-01-21,117.91,117.97,114.23,115.34,125.213,"Ethereum"
"185",2019-01-22,115.34,118.99,112,117.01,189.454,"Ethereum"
"186",2019-01-23,117.01,118.74,115.5,116.91,101.63,"Ethereum"
"187",2019-01-24,116.91,117,114.76,116.75,68.653,"Ethereum"
"188",2019-01-25,116.75,116.75,115,115.65,66.019,"Ethereum"
"189",2019-01-26,115.65,117.45,115,116.4,75.971,"Ethereum"
"190",2019-01-27,116.4,116.4,112.06,113,156.225,"Ethereum"
"191",2019-01-28,113,113,101.04,105.5,238.012,"Ethereum"
"192",2019-01-29,105.5,106.35,102.22,105.26,153.543,"Ethereum"
"193",2019-01-30,105.26,109.52,104.25,108.48,127.728,"Ethereum"
"194",2019-01-31,108.48,110.06,105.26,106.86,154.379,"Ethereum"
"195",2019-02-01,106.86,107.96,104.46,107.52,179.683,"Ethereum"
"196",2019-02-02,107.52,110.39,106.11,110.39,138.753,"Ethereum"
"197",2019-02-03,110.39,110.49,106.56,107.15,159.385,"Ethereum"
"198",2019-02-04,107.15,108.62,106.6,108.05,128.57,"Ethereum"
"199",2019-02-05,108.05,108.19,106.76,107.71,138.891,"Ethereum"
"200",2019-02-06,107.71,107.71,102.05,105.25,107.795,"Ethereum"
"201",2019-02-07,105.25,106.05,103.83,104.89,74.721,"Ethereum"
"202",2019-02-08,104.89,123.12,103.72,119.3,452.125,"Ethereum"
"203",2019-02-09,119.3,120.24,117.36,118.72,150.048,"Ethereum"
"204",2019-02-10,118.72,125,115.49,125,141.728,"Ethereum"
"205",2019-02-11,125,125,119.2,121.34,192.85,"Ethereum"
"206",2019-02-12,121.34,122.04,118.32,122.04,283.568,"Ethereum"
"207",2019-02-13,122.04,125.11,121,121.47,271.727,"Ethereum"
"208",2019-02-14,121.47,124,120.19,121.04,90.659,"Ethereum"
"209",2019-02-15,121.04,123,120.4,121.02,62.32,"Ethereum"
"210",2019-02-16,121.02,124,121.02,122.94,53.557,"Ethereum"
"211",2019-02-17,122.94,135,122.44,134.68,156.449,"Ethereum"
"212",2019-02-18,134.68,147.9,133.42,145.42,369.126,"Ethereum"
"213",2019-02-19,145.42,149.5,144,144,267.827,"Ethereum"
"214",2019-02-20,144,148.56,140,148.56,200.459,"Ethereum"
"215",2019-02-21,148.56,149,142.89,145,114.494,"Ethereum"
"216",2019-02-22,145,148.49,143.64,147.36,134.927,"Ethereum"
"217",2019-02-23,147.36,159,145.8,158.3,193.311,"Ethereum"
"218",2019-02-24,158.3,165.78,135,135,461.408,"Ethereum"
"219",2019-02-25,135,141.86,133.42,139.19,250.792,"Ethereum"
"220",2019-02-26,139.19,139.19,135,135.8,269.8,"Ethereum"
"221",2019-02-27,135.8,139,129.3,135.04,282.14,"Ethereum"
"222",2019-02-28,135.04,138,134.09,134.85,109.68,"Ethereum"
"223",2019-03-01,134.85,137.19,134.85,135.87,111.648,"Ethereum"
"224",2019-03-02,135.87,136.09,130.39,132.86,150.495,"Ethereum"
"225",2019-03-03,132.86,134.4,129.1,131.27,101.777,"Ethereum"
"226",2019-03-04,131.27,131.27,122.35,126.64,267.531,"Ethereum"
"227",2019-03-05,126.64,137.6,125.1,136.1,140.642,"Ethereum"
"228",2019-03-06,136.1,138.71,134.66,136.8,211.644,"Ethereum"
"229",2019-03-07,136.8,139.61,135.39,136.6,114.28,"Ethereum"
"230",2019-03-08,136.6,138,132.49,132.49,113.395,"Ethereum"
"231",2019-03-09,132.49,138.3,132.49,136.66,147.597,"Ethereum"
"232",2019-03-10,136.66,137,133.83,135.96,80.635,"Ethereum"
"233",2019-03-11,135.96,136.35,131.07,132.71,137.912,"Ethereum"
"234",2019-03-12,132.71,135.22,128.8,133.09,98.67,"Ethereum"
"235",2019-03-13,133.09,133.57,130.73,131.5,70.666,"Ethereum"
"236",2019-03-14,131.5,134,130.99,131.65,76.584,"Ethereum"
"237",2019-03-15,131.65,137.77,131.65,135.8,150.314,"Ethereum"
"238",2019-03-16,135.8,144.71,135.8,140.93,273.045,"Ethereum"
"239",2019-03-17,140.93,140.93,137.45,139.1,103.875,"Ethereum"
"240",2019-03-18,139.1,142.35,136.51,138.16,122.724,"Ethereum"
"241",2019-03-19,138.16,140,137.28,137.68,171.829,"Ethereum"
"242",2019-03-20,137.68,138.97,136.39,138.8,109.144,"Ethereum"
"243",2019-03-21,138.8,139.64,133,135.55,89.954,"Ethereum"
"244",2019-03-22,135.55,137.4,133.95,136.96,88.999,"Ethereum"
"245",2019-03-23,136.96,138.47,136,137,110.777,"Ethereum"
"246",2019-03-24,137,137.24,135,136.17,85.25,"Ethereum"
"247",2019-03-25,136.17,136.79,132.17,133.55,112.043,"Ethereum"
"248",2019-03-26,133.55,135.06,132.03,134.42,87.107,"Ethereum"
"249",2019-03-27,134.42,139,134.42,139,267.5,"Ethereum"
"250",2019-03-28,139,139.09,137.26,137.56,104.758,"Ethereum"
"251",2019-03-29,137.56,143,137.55,143,225.212,"Ethereum"
"252",2019-03-30,143,145.57,140.91,142,139.219,"Ethereum"
"253",2019-03-31,142,142,140.35,141.33,131.49,"Ethereum"
"254",2019-04-01,141.33,142.91,140.21,141.44,114.839,"Ethereum"
"255",2019-04-02,141.44,164.99,140.69,164.02,476.017,"Ethereum"
"256",2019-04-03,164.02,177,150.05,158.75,650.728,"Ethereum"
"257",2019-04-04,160.1,164,152.85,157,333.569,"Ethereum"
"258",2019-04-05,157,166.17,156.58,165.33,241.125,"Ethereum"
"259",2019-04-06,165.33,172,161.02,166.26,189.484,"Ethereum"
"260",2019-04-07,166.26,175,164.64,174,183.839,"Ethereum"
"261",2019-04-08,173.68,185.93,172.21,178.45,349.687,"Ethereum"
"262",2019-04-09,178.45,178.45,171.84,173.85,231.713,"Ethereum"
"263",2019-04-10,173.85,183,170,177.99,204.613,"Ethereum"
"264",2019-04-11,177.99,177.99,158.49,165.2,372.028,"Ethereum"
"265",2019-04-12,165.2,166,159,164.27,242.551,"Ethereum"
"266",2019-04-13,164.27,165.17,161.18,162.98,169.337,"Ethereum"
"267",2019-04-14,162.98,168.04,161.03,167.16,183.446,"Ethereum"
